medicamento,PrincipioAtivo
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 50.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 7.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 7.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 7.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 7.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 7.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 7.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 7.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 7.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 7.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 7.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Addera D3 7.000 unidades internacionais cápsula (Cosmed Indústria de Cosméticos e Medicamentos S.A) x 4 cápsulas",Colecalciferol
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
"Advil 400 mg cápsula (Wyeth Indústria Farmacêutica Ltda) x 16 cápsulas",Ibuprofeno
